"","Task","DOF","Muscle","M","SD","Median","Min","Max"
"1","task01","11dof","Anconeus",48.4081115772066,28.7155997352601,47.8379613727809,0.010010561077084,99.9886382926178
"2","task01","11dof","Anterior Deltoid",5.68205370101924,4.91531344897519,4.34963888008111,0.00126754478926988,32.4871889652398
"3","task01","11dof","Anterior Supraspinatus",51.3411939569286,28.85017517576,51.7902823706284,0.00385753756914076,99.9731722345229
"4","task01","11dof","Biceps Long Head",54.156572094871,28.5478389776467,56.3317518452755,0.0136761601697288,99.9736315223431
"5","task01","11dof","Biceps Short Head",52.0121152564245,26.4376994703763,52.4778565924187,0.0315721559907112,99.9862381348254
"6","task01","11dof","Brachialis",56.2514941268792,27.9327014871196,59.2913504554097,0.0171590576764968,99.9638687421451
"7","task01","11dof","Brachioradialis",52.0859099708077,28.6487672306518,53.0040786777627,0.00893361747970056,99.9719280570749
"8","task01","11dof","Coracobrachialis",44.3813500585246,27.6511740529027,42.0181982572694,0.00440544046123037,99.9945116984926
"9","task01","11dof","Inferior Infraspinatus",43.8801054591968,26.5630724626762,41.6664113251525,0.00688140748859034,99.996051194324
"10","task01","11dof","Inferior Latissimus Dorsi",5.13321142489259,4.81707699718423,3.68963199507314,0.00169924380752362,42.5765524023229
"11","task01","11dof","Inferior Pectoralis Major",1.28241725043301,1.17495080092731,0.955844799918821,0.000231057740746748,9.99639555808526
"12","task01","11dof","Inferior Rhombiod",3.87855856358,3.62364386526286,2.79195431285636,0.000746432833519106,29.7651359943528
"13","task01","11dof","Inferior Serratus Anterior",6.49592291168214,4.2859875119282,5.99445525242687,0.00213291037571145,23.369987783291
"14","task01","11dof","Inferior Subscapularis",57.076960642852,27.0700991012088,59.4945538720448,0.0304222975433199,99.9976676803692
"15","task01","11dof","Inferior Trapezius, Scapula",5.41555476204137,4.67424694207721,4.16698016769394,0.000286843764232825,29.8529776450004
"16","task01","11dof","Levator Scapula",7.48560229394195,6.50730531910621,5.79750175288381,0.00135755172946533,52.0424887736067
"17","task01","11dof","Middle Deltoid",57.2787560483314,20.9791465849984,57.9996942310166,0.2907441575704,99.9976441414473
"18","task01","11dof","Middle Latissimus Dorsi",4.23205903782408,4.04625161303733,3.0205611147731,0.000825361765034727,34.1936205613055
"19","task01","11dof","Middle Pectoralis Major",3.42434458971866,3.10097362209733,2.53797936426259,0.000899967862966894,22.2879060819156
"20","task01","11dof","Middle Serratus Anterior",25.3562197164912,13.2616090084295,25.171995526817,0.000105336260738942,68.541758307493
"21","task01","11dof","Middle Subscapularis",55.1439157855777,27.5499466594753,57.3049583136633,0.0299262807329392,99.998562954606
"22","task01","11dof","Middle Trapezius, Scapula",3.83127323280358,3.41520463170038,2.88176000169741,0.000273790845167071,23.28706292074
"23","task01","11dof","Pectoralis Minor",13.8553749839467,10.8638442383401,11.4607258281717,0.00512219235224709,66.4193587245071
"24","task01","11dof","Posterior Deltoid",52.795928194439,26.2241429173639,53.6311445172927,0.0125428608150568,99.9988754974086
"25","task01","11dof","Posterior Supraspinatus",50.2552072719597,28.9000184722137,50.6459603287125,0.00539912417459876,99.9976309481843
"26","task01","11dof","Pronator Quadratus",52.555096385127,28.3507641217155,53.768764961799,0.00815916014357265,99.9954173100613
"27","task01","11dof","Pronator Teres, Humeral",54.2819888235427,27.8552926373411,55.3546643024102,0.0050912080800769,99.9867127521039
"28","task01","11dof","Pronator Teres, Ulnar",51.0108878252667,28.8714003568981,51.6265322238046,0.0130245520313266,99.995161203173
"29","task01","11dof","Superior Infraspinatus",45.6011134790823,27.3993945500311,43.9013973056092,0.00448170148349414,99.9851360611943
"30","task01","11dof","Superior Latissimus Dorsi",7.05933766330936,6.59083214573744,5.13568820082885,1.2199199753149e-05,58.4522662538398
"31","task01","11dof","Superior Pectoralis Major",6.35375644932574,5.44263032939784,4.877686395033,0.000157593577705673,35.0981370172151
"32","task01","11dof","Superior Rhombiod",2.57999253464908,2.35466503793189,1.89391168418669,3.16436285639765e-05,19.7830172262267
"33","task01","11dof","Superior Serratus Anterior",18.8901979220501,12.4563388075792,17.1728757436496,0.00714677878146386,68.2514572708506
"34","task01","11dof","Superior Subscapularis",50.3707988912165,28.6331040714879,50.1608142148777,0.00799625572688312,99.9924801297151
"35","task01","11dof","Superior Trapezius, Scapula",2.9671391335003,2.5498512377495,2.27637151132677,0.000489825719849485,17.4685650023462
"36","task01","11dof","Supinator",38.6953233995772,20.9060240967649,37.58942445419,0.0433663617806723,99.7856483845683
"37","task01","11dof","Teres Major",56.6663780795295,26.0384407640695,58.6062510064273,0.00386679405032231,99.9970353580882
"38","task01","11dof","Teres Minor",44.3063739597908,27.0725479996657,42.3799733454774,0.0182176864036543,99.9746833820257
"39","task01","11dof","Trapezius, Clavicle",80.3724068415957,16.275682753911,84.4130415889592,0.520829168403569,99.9995485533017
"40","task01","11dof","Triceps Lateral Head",42.0353470411185,27.30546523842,38.8561511956135,0.00572453801448436,99.9887242667314
"41","task01","11dof","Triceps Long Head",30.1453758535764,20.7342689379255,26.6619416342274,0.00272222310102044,99.3061045311853
"42","task01","11dof","Triceps Medial Head",38.7519666564949,25.6305989585642,35.3489461941665,0.0182383518914364,99.9293022136502
"43","task01","3dof","Anconeus",49.8289663724018,28.5943689481986,49.7718842750527,0.019236325720029,99.9990806169794
"44","task01","3dof","Anterior Deltoid",28.3210213458217,22.4533378158014,23.062731540417,0.00561829492911614,99.8082644527974
"45","task01","3dof","Anterior Supraspinatus",51.2891959922182,28.4989372945623,51.9399347156666,0.0129481277601484,99.9506473559546
"46","task01","3dof","Biceps Long Head",44.1476677604843,28.279727986864,41.5490429776379,0.00700963253807974,99.9945984990519
"47","task01","3dof","Biceps Short Head",26.1504950657429,21.1794462811453,21.0514378012185,0.00208652021354561,99.9813363978931
"48","task01","3dof","Brachialis",50.1125546229493,28.8336851224108,50.2891714585149,0.0145622948561186,99.9796839479928
"49","task01","3dof","Brachioradialis",49.5806244632196,29.1243136999216,49.2570448016521,0.0147193562584025,99.9837695305657
"50","task01","3dof","Coracobrachialis",29.0362776031654,23.0450114084339,23.5699997834572,9.15604703943806e-05,99.8612797697427
"51","task01","3dof","Inferior Infraspinatus",55.6976705200903,27.1601530806869,57.7075142616151,0.00203632260119546,99.9819766199762
"52","task01","3dof","Inferior Latissimus Dorsi",47.1732692696178,28.4976476543365,46.2653200508333,0.00660060943568075,99.9927898845802
"53","task01","3dof","Inferior Pectoralis Major",12.8244618066206,11.1002554851117,9.74724576328823,0.0010578767262015,73.6020938987722
"54","task01","3dof","Inferior Rhombiod",50.4699538944223,28.8506834398165,50.4027515860078,0.017008882612235,99.9803981355494
"55","task01","3dof","Inferior Serratus Anterior",50.4518118353546,28.9570459161748,51.05184556581,0.00522538032204367,99.9835902815356
"56","task01","3dof","Inferior Subscapularis",48.9058400850522,27.5279285030879,48.2219584687947,0.000424481511884789,99.9716008068159
"57","task01","3dof","Inferior Trapezius, Scapula",49.4214992859058,29.1370697456132,49.3205637280115,0.00426193056447532,99.9858423092162
"58","task01","3dof","Levator Scapula",50.1857283630749,28.9259429851662,50.0998287243127,0.0210092675916262,99.9842139495297
"59","task01","3dof","Middle Deltoid",82.8226428768597,13.8066915946137,86.0522881979698,15.9537480035612,99.9967930497215
"60","task01","3dof","Middle Latissimus Dorsi",46.7240802135441,28.5004948234536,45.005317815028,0.0126077475435415,99.9832116697763
"61","task01","3dof","Middle Pectoralis Major",27.0627762395837,22.4080607682303,21.0113881538838,0.00680507255581553,99.9348902951093
"62","task01","3dof","Middle Serratus Anterior",49.8946148840444,28.7755384794933,49.9701804882627,0.0122445610506727,99.9884999433023
"63","task01","3dof","Middle Subscapularis",46.4011948012416,27.8541538037519,44.7760644756532,0.0144116702810448,99.9966465160469
"64","task01","3dof","Middle Trapezius, Scapula",50.0850412797977,28.8183039644842,50.0465446761274,0.0244085907844915,99.9989562869671
"65","task01","3dof","Pectoralis Minor",50.0611890181935,28.8555384304763,50.0870371949589,0.00313979596201497,99.993126154702
"66","task01","3dof","Posterior Deltoid",70.0997215309066,23.0643447766701,75.3483847056559,0.0211136015624502,99.99533991694
"67","task01","3dof","Posterior Supraspinatus",54.2086269434136,28.685207734568,56.0053186351224,0.00194723013073883,99.9670114074997
"68","task01","3dof","Pronator Quadratus",49.9788007802783,29.0850833272967,49.6554492825905,0.0022887218311618,99.995192312509
"69","task01","3dof","Pronator Teres, Humeral",50.3116138006344,28.855859184498,50.6850273793855,0.0145205908408219,99.981340503852
"70","task01","3dof","Pronator Teres, Ulnar",50.1184370372614,28.7186566870624,50.1196745949863,0.0311068805672832,99.961698728241
"71","task01","3dof","Superior Infraspinatus",58.5579897262763,26.9116363695286,61.6630017756273,0.0126620784936637,99.9935221297795
"72","task01","3dof","Superior Latissimus Dorsi",47.4174064990058,28.635363261009,46.1428024337486,0.0211306799941136,99.9886262393161
"73","task01","3dof","Superior Pectoralis Major",32.2683567583098,24.6870380234445,26.509331365557,0.0017004770692941,99.9382821487252
"74","task01","3dof","Superior Rhombiod",49.6671563320736,29.0788487594316,49.2163701367524,0.0168603880842222,99.9923534570042
"75","task01","3dof","Superior Serratus Anterior",49.8912870069868,29.2387847277528,50.0038122836631,0.00320147395155845,99.980640041014
"76","task01","3dof","Superior Subscapularis",43.326413413221,28.0612366851024,39.992297376397,0.00977394127988918,99.9993454051038
"77","task01","3dof","Superior Trapezius, Scapula",50.38632633222,29.0225691121396,50.590762599213,0.00557908307113331,99.9849535425727
"78","task01","3dof","Supinator",50.0551217121675,28.9113225693252,50.0627342701129,0.0569950309533496,99.9562286390502
"79","task01","3dof","Teres Major",50.5530184353236,26.1618841273505,50.7623901668745,0.0132156572941411,99.9914215806969
"80","task01","3dof","Teres Minor",53.5214664102193,27.6159755232619,54.5754284208923,0.0272704896936315,99.9750725333403
"81","task01","3dof","Trapezius, Clavicle",49.8028071705379,28.7175660476342,50.0214911223776,0.000597855207901121,99.9995648900102
"82","task01","3dof","Triceps Lateral Head",50.1114954305648,28.6168517013077,50.1720800006301,0.00355930374433266,99.9770496006252
"83","task01","3dof","Triceps Long Head",41.1335560030744,25.4867579899228,38.5825722986965,0.0020304058733378,99.973376768171
"84","task01","3dof","Triceps Medial Head",49.871317142389,28.7295925283213,50.0931961063037,0.0121886486926903,99.9973933567011
"85","task01","5dof","Anconeus",48.4408733744539,28.5180866544594,47.866431737384,0.0173872303556533,99.9913832425153
"86","task01","5dof","Anterior Deltoid",26.2791957895124,21.6960782765777,20.6556887324693,0.0073426637010543,99.8969565537238
"87","task01","5dof","Anterior Supraspinatus",48.5952121660789,28.6561419179076,48.1536032889776,0.00626523461821904,99.9571494761573
"88","task01","5dof","Biceps Long Head",49.9285061776213,28.3808282728505,50.0062175968169,0.0351758556517368,99.9863671730538
"89","task01","5dof","Biceps Short Head",31.8977515375299,22.7426744553257,27.6042896608353,0.0123233181898164,99.9064199320635
"90","task01","5dof","Brachialis",59.5566672995565,27.0630773330374,63.3527653881867,0.0494947513951849,99.9957594975206
"91","task01","5dof","Brachioradialis",53.1147753094978,28.626046620235,54.4598037623881,0.0491317365169941,99.9819770622645
"92","task01","5dof","Coracobrachialis",28.9554699575329,22.9746680100382,23.1547854114189,0.000203446552010655,99.7528853217369
"93","task01","5dof","Inferior Infraspinatus",56.3523599559791,27.2122802786402,58.6739116530799,0.0707821542458298,99.9928127566009
"94","task01","5dof","Inferior Latissimus Dorsi",48.4335170538318,28.7979064601637,47.9737086314279,0.027697371269203,99.9875965051429
"95","task01","5dof","Inferior Pectoralis Major",13.0036686064005,10.9891765676154,10.1719259137817,0.00215504796373112,75.3599209909901
"96","task01","5dof","Inferior Rhombiod",49.950616296759,28.9627278196458,50.2121026799134,0.000810674051587856,99.9961604638201
"97","task01","5dof","Inferior Serratus Anterior",50.1965854917296,28.8824255818645,49.9006748069386,0.00976819617257707,99.9525505856038
"98","task01","5dof","Inferior Subscapularis",46.8360690794404,27.8279240250178,45.4390673191856,0.000158270962580254,99.9996085176047
"99","task01","5dof","Inferior Trapezius, Scapula",49.4929602356167,28.9993004103204,49.8238114927079,0.00272368440725201,99.9986550938118
"100","task01","5dof","Levator Scapula",49.7391853894218,28.878091390049,49.5816402566955,0.0126643593202802,99.9966907225855
"101","task01","5dof","Middle Deltoid",80.1715018504666,15.0853835796117,83.2521938793279,9.52834242068021,99.9854032763323
