"","Task","M_range50","M_range80","M_range90","M_range100"
"1","task01",30.8752962941354,52.3999686966695,61.4000291388603,81.6613924435313
"2","task02",31.5638516739345,53.7567696593574,63.1068048526255,82.8104148987439
"3","task03",32.0948076828249,54.5418178008136,63.6761521574121,81.2675519911343
"4","task04",26.3082533201154,44.9661588380939,52.9298957770044,69.8227490233103
"5","task05",29.651280551448,50.3098677761994,58.8852229270488,79.2000628203325
"6","task06",26.9512762500838,45.7367784343037,53.5398709972561,70.8865486152728
"7","task08",30.723418613944,52.4508493502386,61.7035429076134,82.9734523766803
"8","task09",29.2795135021986,50.18047883867,59.3874003409631,81.4094153580347
"9","task10",20.9789713215966,36.9342858591185,44.3710797732388,65.732569287853
"10","task11",29.9577764035739,50.6690145885471,59.1289411897037,77.3260773941083
