"","Task","musclegroup","M_range50","M_range80","M_range90","M_range100"
"1","task01","elbow",43.9276991938732,73.1966871911058,84.4620513194073,99.8871195642179
"2","task01","glenohumeral",41.6610375154476,69.6623273485093,80.5467851653216,95.3877561616574
"3","task01","thoracohumeral",10.5743182421598,20.5702670743209,26.6822285387889,63.1943166350841
"4","task01","thoracoscapular",14.9627869884937,26.673325544573,32.5504572379391,55.6296652677862
"5","task02","elbow",44.4987791159405,73.9986999791343,85.2483902896371,99.944915824137
"6","task02","glenohumeral",40.6859097534874,68.824808147255,80.0216864168202,95.5551941066138
"7","task02","thoracohumeral",16.5089121402889,30.888219859433,38.9191732175803,66.1491830513968
"8","task02","thoracoscapular",14.8841928433541,26.3407364429536,32.1552870554985,58.1441649239307
"9","task03","elbow",44.812784027338,74.342541007579,85.421575622895,99.6879521281905
"10","task03","glenohumeral",39.4536219027431,67.3286116270549,78.682737645035,94.7411973280552
"11","task03","thoracohumeral",23.7241083838317,40.8503776199626,47.7952592107029,62.9482533348708
"12","task03","thoracoscapular",14.0897072101763,25.2974216974305,30.8811216806272,55.2415157104922
"13","task04","elbow",42.9998363297451,71.9219813100424,83.1970706714302,99.0377048291844
"14","task04","glenohumeral",34.9639060551515,60.6956091291812,71.9951609215395,92.5524415037751
"15","task04","thoracohumeral",2.58998205289425,5.0867143146421,6.65221091991926,17.9867361716146
"16","task04","thoracoscapular",10.8070847685064,18.7228809920207,22.621856097954,39.3637131318233
"17","task05","elbow",42.7317348027398,71.845385788045,82.9943196482772,99.9213779282673
"18","task05","glenohumeral",41.7368497418078,69.5479564336986,80.1487162124955,94.4084417954552
"19","task05","thoracohumeral",7.70672652569438,15.1343690865503,19.7584638550672,52.9388256351473
"20","task05","thoracoscapular",13.0685054300248,23.2672880896773,28.7966757512617,52.9457641966324
"21","task06","elbow",41.0988339257187,69.3137953629449,80.77311046272,99.1115396131946
"22","task06","glenohumeral",39.4230213345772,66.3160854422792,76.7603278159804,92.3805785252495
"23","task06","thoracohumeral",3.98519560022208,7.82634568601103,10.2733381311416,25.804905009939
"24","task06","thoracoscapular",9.30519494946004,16.3738150017928,19.9884514488655,39.2836014177497
"25","task08","elbow",41.2456043068091,69.5813654976996,81.1619096576457,99.879437730158
"26","task08","glenohumeral",42.2397456054681,71.1642873843662,82.4685978872639,98.207111625157
"27","task08","thoracohumeral",14.6739824355163,28.102842927021,36.1108605322301,74.1111011728381
"28","task08","thoracoscapular",14.3887038745233,24.9278630162489,29.8953591363823,51.3611535358734
"29","task09","elbow",35.2818703156671,60.7138100509854,72.3015158583602,97.1784307710795
"30","task09","glenohumeral",42.6435252557067,71.9671233692558,83.7603811214055,99.8167061156666
"31","task09","thoracohumeral",18.6361709679555,33.9073521117077,42.1704161628594,82.6927401780479
"32","task09","thoracoscapular",12.7431153793104,21.8179703765221,25.8859247695182,41.7527868375047
"33","task10","elbow",21.1203691415114,38.1648161766842,46.649630815453,77.036108495557
"34","task10","glenohumeral",36.57566735631,63.0493340984689,74.3357624405648,95.712700826134
"35","task10","thoracohumeral",8.56945120936197,16.7582262649912,21.8799222977887,51.2817894547031
"36","task10","thoracoscapular",9.16108935642914,15.733773735702,18.7404850160472,25.8526146068345
"37","task11","elbow",44.9944122891823,74.3142853813803,85.5331872318295,99.9485419222288
"38","task11","glenohumeral",40.0952089840609,67.8441269211811,78.4198885487766,93.3871991179839
"39","task11","thoracohumeral",5.97563544374823,11.7365369130924,15.3365183616262,38.8826995848891
"40","task11","thoracoscapular",14.6547392749667,25.8122106080459,31.4126928983407,54.6348146766072
