"","Task","DOF","n95","n","MedianRange","MeanRange"
"1","task01","11dof",25,42,99.8266729422732,74.559719447562
"2","task01","3dof",40,42,99.9738583061292,98.9562547316558
"3","task01","5dof",40,42,99.9569384017154,99.106772164332
"4","task01","8dof",29,42,99.938442715988,81.6613924435313
"5","task02","11dof",25,42,99.8863156287381,76.9438143269051
"6","task02","3dof",40,42,99.9771114544445,99.1359719868231
"7","task02","5dof",41,42,99.9783388994822,99.2104420832307
"8","task02","8dof",29,42,99.9532004752708,82.8104148987439
"9","task03","11dof",25,42,99.8398161891844,74.5196229178141
"10","task03","3dof",41,42,99.9700858633358,99.6015999434215
"11","task03","5dof",41,42,99.9800887817609,99.5438631425595
"12","task03","8dof",29,42,99.9587249740493,81.2675519911343
"13","task04","3dof",41,42,99.9612979886702,99.4458725718259
"14","task04","5dof",39,42,99.9685854052709,98.7227019477458
"15","task04","8dof",24,42,99.8541677691378,69.8227490233103
"16","task05","11dof",24,42,99.8665736579364,69.5507408914697
"17","task05","3dof",40,42,99.967877491328,98.7213467380238
"18","task05","5dof",39,42,99.94889781075,98.5954250157047
"19","task05","8dof",26,42,99.8980447462595,79.2000628203325
"20","task06","3dof",40,42,99.9672868146222,98.4631020054406
"21","task06","5dof",39,42,99.9647367961255,97.5388957062469
"22","task06","8dof",23,42,99.9047943602458,70.8865486152728
"23","task07","3dof",37,42,99.9710234710766,94.9151931215582
"24","task07","5dof",36,42,99.9540676244456,93.6837480791638
"25","task08","11dof",25,42,99.924811604691,76.6186960240096
"26","task08","3dof",42,42,99.9756569453263,99.7918237220111
"27","task08","5dof",41,42,99.9710136895625,99.55346921686
"28","task08","8dof",28,42,99.9451155937684,82.9734523766803
"29","task09","11dof",24,42,99.806649548086,75.0980873961385
"30","task09","3dof",42,42,99.9775123128698,99.9644621460719
"31","task09","5dof",40,42,99.9584064313371,99.0724803735984
"32","task09","8dof",27,42,99.9407836104378,81.4094153580347
"33","task10","3dof",42,42,99.9768800901437,99.9632241312372
"34","task10","5dof",34,42,99.9625959270886,93.0761399696243
"35","task10","8dof",18,42,78.8960526489909,65.732569287853
"36","task11","11dof",24,42,99.9139792330039,68.6475402885746
"37","task11","3dof",40,42,99.9718698085696,98.3036226570421
"38","task11","5dof",40,42,99.965085190018,98.1800750678381
"39","task11","8dof",28,42,99.9263408112467,77.3260773941083
"40","task12","3dof",35,42,99.9683928911175,94.4049364491639
"41","task12","5dof",33,42,99.9566879537885,93.8040931859777
"42","task13","3dof",24,42,99.9146084377206,70.2864464852253
"43","task13","5dof",20,42,93.4606870770681,68.0223019742696
