"","Task","Mean_Dif","SD_Dif","Min_Dif","Max_Dif"
"1","task01",0.00356311813374215,0.000535698923508841,0.00210387568263544,0.00439582304951809
"2","task02",0.000923442752084078,0.000134698439992659,0.000592671506955983,0.00113867021548768
"3","task03",0.00811853031654683,0.00106096187687564,0.00445455636693363,0.00951579840087114
"4","task04",0.00917884676319623,0.000939301735199099,0.00572629185344706,0.01048786594436
"5","task05",0.00853703652203392,0.000881635449475975,0.00548553604227724,0.00953716407587724
"6","task06",0.0113576846779283,0.00101002346678082,0.00755316231470492,0.0126256629035677
"7","task08",0.00497868021596389,0.00079705410503471,0.00296134107227581,0.00616203525011191
"8","task09",0.0134044432136029,0.00154936959064398,0.00869535785781667,0.0154508155899658
"9","task10",0.0151099117112834,0.00142950142387639,0.00900879907219963,0.0167286438206036
"10","task11",0.00731947090613418,0.000964819725202926,0.00375567710954661,0.008458473346914
