"","Task","Mean_RMSD","SD_RMSD","Min_RMSD","Max_RMSD"
"1","task01",3.4667804396949,1.25647583458646,1.47543917829455,7.84633229618453
"2","task02",3.09905293434103,1.08306799255442,1.08635869476202,6.6794773128581
"3","task03",8.70130455914709,1.41782267427398,3.36135819401737,12.0226763062869
"4","task04",8.55155909020717,1.43180903143397,4.93272702592957,13.4834721402855
"5","task05",4.83382831602044,0.868264278765374,2.5242749502587,7.66727208485648
"6","task06",7.65773873801303,1.13911529639042,4.00237586722376,11.6875367563535
"7","task08",5.33360858931903,1.11419958121855,2.40852540333355,9.11298850415374
"8","task09",9.85127589858529,1.71712443259938,4.86791812213628,14.5639619568842
"9","task10",9.73972933406478,1.42595151677287,5.401385379859,13.9523585124182
"10","task11",6.47977372641248,1.10609216715023,3.2656518853159,9.91093514330033
